Name,Start Time(ns),Duration(ns),GridX,GridY,GridZ,BlockX,BlockY,BlockZ,Registers/Thread,Static Shared Memory,Dynamic Shared Memory,Size(bytes),Throughput(bytes/sec)
"Memcpy HtoD [sync]",2460804234,3356413,,,,,,,,,,8327276,2481004572
"matrixMulKernel(matrix, matrix, matrix)",2464298122,32650318,60,30,1,34,17,1,21,0,0,,
"Memcpy DtoH [sync]",2496993721,1563836,,,,,,,,,,4151404,2654628746
"Memcpy HtoD [sync]",2500733821,493769,,,,,,,,,,2078756,4209976730
"Memcpy HtoD [sync]",2501728911,3621825,,,,,,,,,,8327276,2299193362
"matrixMulKernel(matrix, matrix, matrix)",2505784664,34433327,76,170,1,27,3,1,21,0,0,,
"Memcpy DtoH [sync]",2540411498,1318712,,,,,,,,,,4151404,3148074788
"Memcpy HtoD [sync]",2543761415,502281,,,,,,,,,,2078756,4138631562
"Memcpy HtoD [sync]",2544618550,2645200,,,,,,,,,,8327276,3148070467
"matrixMulKernel(matrix, matrix, matrix)",2548264952,40144439,41,255,1,50,2,1,21,0,0,,
"Memcpy DtoH [sync]",2588457391,1726720,,,,,,,,,,4151404,2404213769
"Memcpy HtoD [sync]",2592285493,515785,,,,,,,,,,2078756,4030276180
"Memcpy HtoD [sync]",2593319591,3693571,,,,,,,,,,8327276,2254532537
"matrixMulKernel(matrix, matrix, matrix)",2597232142,47540188,227,9,1,9,61,1,21,0,0,,
"Memcpy DtoH [sync]",2644952877,1964100,,,,,,,,,,4151404,2113641871
"Memcpy HtoD [sync]",2648724913,679725,,,,,,,,,,2078756,3058230902
"Memcpy HtoD [sync]",2649842022,3665570,,,,,,,,,,8327276,2271754733
"matrixMulKernel(matrix, matrix, matrix)",2653696363,37156000,136,21,1,15,25,1,21,0,0,,
"Memcpy DtoH [sync]",2690892876,1322520,,,,,,,,,,4151404,3139010374
"Memcpy HtoD [sync]",2695415070,741133,,,,,,,,,,2078756,2804835299
"Memcpy HtoD [sync]",2696642100,3976328,,,,,,,,,,8327276,2094212549
"matrixMulKernel(matrix, matrix, matrix)",2700907873,38218100,36,255,1,58,2,1,21,0,0,,
"Memcpy DtoH [sync]",2739244599,1931491,,,,,,,,,,4151404,2149326090
"Memcpy HtoD [sync]",2743034907,710125,,,,,,,,,,2078756,2927309980
"Memcpy HtoD [sync]",2744199312,3056152,,,,,,,,,,8327276,2724758454
"matrixMulKernel(matrix, matrix, matrix)",2747577581,95671715,680,16,1,3,32,1,21,0,0,,
"Memcpy DtoH [sync]",2843526709,1926979,,,,,,,,,,4151404,2154358713
"Memcpy HtoD [sync]",2847458268,510345,,,,,,,,,,2078756,4073236732
"Memcpy HtoD [sync]",2848440526,3750116,,,,,,,,,,8327276,2220538244
"matrixMulKernel(matrix, matrix, matrix)",2852386869,30924079,85,32,1,24,16,1,21,0,0,,
"Memcpy DtoH [sync]",2883356037,1643262,,,,,,,,,,4151404,2526318992
"Memcpy HtoD [sync]",2886847524,691821,,,,,,,,,,2078756,3004759901
"Memcpy HtoD [sync]",2887996121,3755780,,,,,,,,,,8327276,2217189505
"matrixMulKernel(matrix, matrix, matrix)",2891929056,33873221,38,51,1,55,10,1,21,0,0,,
"Memcpy DtoH [sync]",2925848678,1316152,,,,,,,,,,4151404,3154197995
"Memcpy HtoD [sync]",2929819406,677196,,,,,,,,,,2078756,3069651917
"Memcpy HtoD [sync]",2930976323,3968039,,,,,,,,,,8327276,2098587236
"matrixMulKernel(matrix, matrix, matrix)",2935149422,33599488,102,14,1,20,37,1,21,0,0,,
"Memcpy DtoH [sync]",2968796527,1884930,,,,,,,,,,4151404,2202418126
"Memcpy HtoD [sync]",2972517394,699917,,,,,,,,,,2078756,2970003586
"Memcpy HtoD [sync]",2973668007,3538944,,,,,,,,,,8327276,2353039776
"matrixMulKernel(matrix, matrix, matrix)",2977426379,47333816,227,26,1,9,20,1,21,0,0,,
"Memcpy DtoH [sync]",3024955654,1916611,,,,,,,,,,4151404,2166012821
"Memcpy HtoD [sync]",3028841613,643851,,,,,,,,,,2078756,3228628984
"Memcpy HtoD [sync]",3029914912,3530432,,,,,,,,,,8327276,2358713041
"matrixMulKernel(matrix, matrix, matrix)",3033607939,29099470,128,13,1,16,42,1,21,0,0,,
"Memcpy DtoH [sync]",3062758386,1855330,,,,,,,,,,4151404,2237555583
"Memcpy HtoD [sync]",3066441749,712813,,,,,,,,,,2078756,2916271167
"Memcpy HtoD [sync]",3067608682,2753842,,,,,,,,,,8327276,3023875734
"matrixMulKernel(matrix, matrix, matrix)",3070613472,32302152,60,17,1,34,30,1,21,0,0,,
"Memcpy DtoH [sync]",3103073739,1918627,,,,,,,,,,4151404,2163736880
"Memcpy HtoD [sync]",3107045555,717037,,,,,,,,,,2078756,2899091678
"Memcpy HtoD [sync]",3108264905,3942280,,,,,,,,,,8327276,2112299481
"matrixMulKernel(matrix, matrix, matrix)",3112538551,106855052,680,27,1,3,19,1,21,0,0,,
"Memcpy DtoH [sync]",3219444804,1324024,,,,,,,,,,4151404,3135444674
"Memcpy HtoD [sync]",3223060838,715469,,,,,,,,,,2078756,2905445239
"Memcpy HtoD [sync]",3224250459,3970696,,,,,,,,,,8327276,2097182962
"matrixMulKernel(matrix, matrix, matrix)",3228334181,34058664,44,102,1,47,5,1,21,0,0,,
"Memcpy DtoH [sync]",3262538384,1904578,,,,,,,,,,4151404,2179697549
"Memcpy HtoD [sync]",3266355573,675980,,,,,,,,,,2078756,3075173821
"Memcpy HtoD [sync]",3267484969,3745540,,,,,,,,,,8327276,2223251119
"matrixMulKernel(matrix, matrix, matrix)",3271439953,35145243,41,85,1,50,6,1,21,0,0,,
"Memcpy DtoH [sync]",3306626669,1316600,,,,,,,,,,4151404,3153124715
"Memcpy HtoD [sync]",3310062347,767374,,,,,,,,,,2078756,2708921594
"Memcpy HtoD [sync]",3311311682,4119594,,,,,,,,,,8327276,2021382689
"matrixMulKernel(matrix, matrix, matrix)",3315521614,34199754,98,13,1,21,40,1,21,0,0,,
"Memcpy DtoH [sync]",3349768473,1860770,,,,,,,,,,4151404,2231014042
"Memcpy HtoD [sync]",3353628159,656748,,,,,,,,,,2078756,3165226235
"Memcpy HtoD [sync]",3354876502,3596257,,,,,,,,,,8327276,2315539740
"matrixMulKernel(matrix, matrix, matrix)",3358686619,36885947,136,13,1,15,41,1,21,0,0,,
"Memcpy DtoH [sync]",3395611831,1702494,,,,,,,,,,4151404,2438425039
"Memcpy HtoD [sync]",3399616831,673228,,,,,,,,,,2078756,3087744419
"Memcpy HtoD [sync]",3400777204,4218924,,,,,,,,,,8327276,1973791421
