Name,Start Time(ns),Duration(ns),GridX,GridY,GridZ,BlockX,BlockY,BlockZ,Registers/Thread,Static Shared Memory,Dynamic Shared Memory,Global Memory Load Efficiency(%),Achieved Occupancy,Global Memory Store Efficiency(%)
"matrixMulKernel(matrix, matrix, matrix)",11616500853,101853014,64,18,1,32,29,1,21,0,0,136.009,0.871,82.002
"matrixMulKernel(matrix, matrix, matrix)",11721033154,121428162,64,255,1,32,2,1,21,0,0,136.009,0.677,82.002
"matrixMulKernel(matrix, matrix, matrix)",11845047902,121352580,64,255,1,32,2,1,21,0,0,136.009,0.706,82.002
"matrixMulKernel(matrix, matrix, matrix)",11969076826,121312901,64,255,1,32,2,1,21,0,0,136.009,0.934,82.002
"matrixMulKernel(matrix, matrix, matrix)",12092977625,93328124,64,170,1,32,3,1,21,0,0,136.009,0.992,82.002
"matrixMulKernel(matrix, matrix, matrix)",12188876943,105173755,64,17,1,32,31,1,21,0,0,136.009,0.908,82.002
"matrixMulKernel(matrix, matrix, matrix)",12296633252,99065313,64,34,1,32,15,1,21,0,0,136.009,0.966,82.002
"matrixMulKernel(matrix, matrix, matrix)",12398260928,98386771,64,51,1,32,10,1,21,0,0,136.009,0.989,82.002
"matrixMulKernel(matrix, matrix, matrix)",12499261260,98593741,64,43,1,32,12,1,21,0,0,136.009,0.808,82.002
"matrixMulKernel(matrix, matrix, matrix)",12600437555,102069456,64,32,1,32,16,1,21,0,0,136.009,0.833,82.002
"matrixMulKernel(matrix, matrix, matrix)",12705151195,98197272,64,51,1,32,10,1,21,0,0,136.009,0.908,82.002
"matrixMulKernel(matrix, matrix, matrix)",12805998219,99572851,64,17,1,32,30,1,21,0,0,136.009,0.85,82.002
"matrixMulKernel(matrix, matrix, matrix)",12908230294,93254335,64,170,1,32,3,1,21,0,0,136.009,0.993,82.002
"matrixMulKernel(matrix, matrix, matrix)",13004090350,92459476,64,40,1,32,13,1,21,0,0,136.009,0.932,82.002
"matrixMulKernel(matrix, matrix, matrix)",13099141596,95063597,64,37,1,32,14,1,21,0,0,136.009,0.869,82.002
"matrixMulKernel(matrix, matrix, matrix)",13196789891,97426413,64,29,1,32,18,1,21,0,0,136.009,0.935,82.002
"matrixMulKernel(matrix, matrix, matrix)",13296870216,98752521,64,102,1,32,5,1,21,0,0,136.009,0.25,82.006
"matrixMulKernel(matrix, matrix, matrix)",13398391910,100514586,64,128,1,32,4,1,21,0,0,136.009,0.966,82.002
"matrixMulKernel(matrix, matrix, matrix)",13501521529,96974137,64,85,1,32,6,1,21,0,0,136.009,0.931,82.002
"matrixMulKernel(matrix, matrix, matrix)",13601106091,101825494,64,18,1,32,29,1,21,0,0,136.009,0.859,82.002
"matrixMulKernel(matrix, matrix, matrix)",13705555418,228479435,64,509,1,32,1,1,21,0,0,136.009,0.794,82.002
"matrixMulKernel(matrix, matrix, matrix)",13936666621,94178661,64,20,1,32,26,1,21,0,0,136.009,0.93,82.002
"matrixMulKernel(matrix, matrix, matrix)",14033465435,98546575,64,19,1,32,27,1,21,0,0,136.009,0.799,82.002
"matrixMulKernel(matrix, matrix, matrix)",14134625091,102541827,64,16,1,32,32,1,21,0,0,136.009,0.828,82.002
"matrixMulKernel(matrix, matrix, matrix)",14239767807,100542233,64,128,1,32,4,1,21,0,0,136.009,0.74,82.002
"matrixMulKernel(matrix, matrix, matrix)",14342932465,229432272,64,509,1,32,1,1,21,0,0,136.009,0.851,82.002
"matrixMulKernel(matrix, matrix, matrix)",14575164853,97795908,64,57,1,32,9,1,21,0,0,136.009,0.959,82.002
"matrixMulKernel(matrix, matrix, matrix)",14675641040,229296916,64,509,1,32,1,1,21,0,0,136.009,0.866,82.002
"matrixMulKernel(matrix, matrix, matrix)",14907612667,97567178,64,73,1,32,7,1,21,0,0,136.009,0.932,82.002
"matrixMulKernel(matrix, matrix, matrix)",15007812509,98660908,64,102,1,32,5,1,21,0,0,136.009,0.909,82.002
"matrixMulKernel(matrix, matrix, matrix)",15109091682,98196441,64,51,1,32,10,1,21,0,0,136.009,0.934,82.002
"matrixMulKernel(matrix, matrix, matrix)",15209885940,98147994,64,51,1,32,10,1,21,0,0,136.009,0.947,82.002
"matrixMulKernel(matrix, matrix, matrix)",15310624984,98000851,64,51,1,32,10,1,21,0,0,136.009,0.928,82.002
"matrixMulKernel(matrix, matrix, matrix)",15411296131,96997006,64,85,1,32,6,1,21,0,0,136.009,0.909,82.002
"matrixMulKernel(matrix, matrix, matrix)",15510914474,98128719,64,51,1,32,10,1,21,0,0,136.009,0.799,82.002
"matrixMulKernel(matrix, matrix, matrix)",15611634163,100615276,64,128,1,32,4,1,21,0,0,136.009,0.992,82.002
"matrixMulKernel(matrix, matrix, matrix)",15714861815,121293753,64,255,1,32,2,1,21,0,0,136.009,0.927,82.002
"matrixMulKernel(matrix, matrix, matrix)",15838747146,93371601,64,30,1,32,17,1,21,0,0,136.009,0.909,82.002
"matrixMulKernel(matrix, matrix, matrix)",15934703572,97564127,64,64,1,32,8,1,21,0,0,136.009,0.975,82.002
"matrixMulKernel(matrix, matrix, matrix)",16034880524,97590398,64,64,1,32,8,1,21,0,0,136.009,0.833,82.002
"matrixMulKernel(matrix, matrix, matrix)",16135063364,94611055,64,22,1,32,24,1,21,0,0,136.009,0.499,82.002
"matrixMulKernel(matrix, matrix, matrix)",16232223918,102534296,64,16,1,32,32,1,21,0,0,136.009,0.859,82.002
"matrixMulKernel(matrix, matrix, matrix)",16337333631,102704691,64,16,1,32,32,1,21,0,0,136.009,0.928,82.002
"matrixMulKernel(matrix, matrix, matrix)",16442623692,99976861,64,27,1,32,19,1,21,0,0,136.009,0.929,82.002
"matrixMulKernel(matrix, matrix, matrix)",16545164099,105157905,64,17,1,32,31,1,21,0,0,136.009,0.946,82.002
"matrixMulKernel(matrix, matrix, matrix)",16652872142,103744599,64,25,1,32,21,1,21,0,0,136.009,0.859,82.002
"matrixMulKernel(matrix, matrix, matrix)",16759195839,100094970,64,27,1,32,19,1,21,0,0,136.009,0.807,82.002
"matrixMulKernel(matrix, matrix, matrix)",16861868371,101968903,64,32,1,32,16,1,21,0,0,136.009,0.99,82.002
