dimension, 2039, 2039
Result (x y micro-second), 11, 9, 21290
Result (x y micro-second), 17, 31, 22916
Result (x y micro-second), 4, 39, 21541
Result (x y micro-second), 43, 1, 21441
Result (x y micro-second), 1, 24, 23427
Result (x y micro-second), 27, 14, 21241
Result (x y micro-second), 30, 8, 21205
Result (x y micro-second), 1, 11, 23953
Result (x y micro-second), 16, 5, 21259
Result (x y micro-second), 5, 50, 21501
Result (x y micro-second), 18, 56, 21279
Result (x y micro-second), 48, 8, 21192
Result (x y micro-second), 11, 33, 21350
Result (x y micro-second), 23, 33, 21338
Result (x y micro-second), 3, 53, 21774
Result (x y micro-second), 5, 32, 21508
Result (x y micro-second), 10, 35, 21288
Result (x y micro-second), 39, 4, 21204
Result (x y micro-second), 20, 40, 21354
Result (x y micro-second), 15, 36, 21274
Result (x y micro-second), 1, 32, 23417
Result (x y micro-second), 21, 47, 21317
Result (x y micro-second), 15, 64, 21365
Result (x y micro-second), 31, 19, 21279
Result (x y micro-second), 32, 27, 21286
Result (x y micro-second), 1, 41, 24674
Result (x y micro-second), 44, 17, 21329
Result (x y micro-second), 15, 58, 21352
Result (x y micro-second), 57, 16, 21259
Result (x y micro-second), 62, 15, 21300
Result (x y micro-second), 10, 51, 21454
Result (x y micro-second), 63, 10, 21302
Result (x y micro-second), 18, 19, 21323
Result (x y micro-second), 56, 16, 21275
Result (x y micro-second), 62, 7, 21243
Result (x y micro-second), 15, 28, 21289
Result (x y micro-second), 1, 2, 32479
Result (x y micro-second), 3, 15, 22090
Result (x y micro-second), 8, 52, 21385
Result (x y micro-second), 5, 48, 21502
Result (x y micro-second), 29, 2, 21356
Result (x y micro-second), 47, 6, 21253
Result (x y micro-second), 14, 39, 21324
Result (x y micro-second), 21, 11, 21317
Result (x y micro-second), 39, 5, 21264
Result (x y micro-second), 17, 28, 21278
Result (x y micro-second), 14, 30, 21267
Result (x y micro-second), 39, 16, 21279
Result (x y micro-second), 5, 51, 21491
Result (x y micro-second), 21, 10, 21245
Result (x y micro-second), 11, 31, 21311
Result (x y micro-second), 26, 4, 21291
Result (x y micro-second), 4, 40, 21572
Result (x y micro-second), 42, 24, 21310
Result (x y micro-second), 27, 10, 21338
Result (x y micro-second), 48, 1, 21424
Result (x y micro-second), 22, 22, 21271
Result (x y micro-second), 17, 1, 22186
Result (x y micro-second), 52, 11, 21265
Result (x y micro-second), 30, 21, 21277
Result (x y micro-second), 52, 16, 21295
Result (x y micro-second), 39, 13, 21240
Result (x y micro-second), 20, 42, 21464
Result (x y micro-second), 1, 38, 24979
Result (x y micro-second), 4, 48, 21621
Result (x y micro-second), 8, 1, 23653
Result (x y micro-second), 21, 45, 21355
Result (x y micro-second), 9, 51, 21363
Result (x y micro-second), 1, 4, 27264
Result (x y micro-second), 19, 1, 22070
Result (x y micro-second), 1, 38, 25075
Result (x y micro-second), 35, 22, 21332
Result (x y micro-second), 5, 4, 22191
Result (x y micro-second), 30, 10, 21287
Result (x y micro-second), 41, 22, 21300
Result (x y micro-second), 22, 22, 21269
Result (x y micro-second), 9, 3, 21805
Result (x y micro-second), 55, 10, 21281
Result (x y micro-second), 27, 7, 21308
Result (x y micro-second), 12, 3, 21678
Result (x y micro-second), 14, 17, 21303
Result (x y micro-second), 12, 18, 21314
Result (x y micro-second), 16, 1, 22294
Result (x y micro-second), 1, 24, 23477
Result (x y micro-second), 18, 22, 21360
Result (x y micro-second), 54, 1, 21350
Result (x y micro-second), 30, 17, 21456
Result (x y micro-second), 35, 6, 21248
Result (x y micro-second), 19, 34, 21345
Result (x y micro-second), 7, 11, 21435
Result (x y micro-second), 14, 22, 21294
Result (x y micro-second), 11, 61, 21348
Result (x y micro-second), 13, 44, 21314
Result (x y micro-second), 34, 13, 21331
Result (x y micro-second), 3, 29, 21816
Result (x y micro-second), 21, 30, 21258
Result (x y micro-second), 12, 57, 21527
Result (x y micro-second), 21, 42, 21363
Result (x y micro-second), 9, 55, 21350
Result (x y micro-second), 47, 1, 21439
Result (x y micro-second), 39, 5, 21238
Result (x y micro-second), 4, 52, 21584
Result (x y micro-second), 17, 14, 21269
Result (x y micro-second), 57, 17, 21299
Result (x y micro-second), 14, 32, 21461
Result (x y micro-second), 21, 34, 21436
Result (x y micro-second), 26, 17, 21242
Result (x y micro-second), 9, 35, 21355
Result (x y micro-second), 8, 56, 21402
Result (x y micro-second), 19, 42, 21423
Result (x y micro-second), 22, 36, 21337
Result (x y micro-second), 55, 5, 21275
Result (x y micro-second), 22, 41, 21369
Result (x y micro-second), 41, 3, 21287
Result (x y micro-second), 12, 55, 21449
Result (x y micro-second), 24, 30, 21339
Result (x y micro-second), 47, 8, 21241
Result (x y micro-second), 14, 10, 21292
Result (x y micro-second), 28, 32, 21341
Result (x y micro-second), 3, 42, 22550
Result (x y micro-second), 54, 3, 21439
Result (x y micro-second), 24, 11, 21286
Result (x y micro-second), 43, 1, 21456
Result (x y micro-second), 13, 54, 21485
Result (x y micro-second), 22, 14, 21290
Result (x y micro-second), 11, 21, 21389
Result (x y micro-second), 28, 18, 21431
Result (x y micro-second), 8, 17, 21373
Result (x y micro-second), 21, 21, 21360
Result (x y micro-second), 52, 12, 21279
Result (x y micro-second), 57, 13, 21330
Result (x y micro-second), 13, 44, 21398
Result (x y micro-second), 24, 3, 21313
Result (x y micro-second), 16, 35, 21334
Result (x y micro-second), 1, 15, 23662
Result (x y micro-second), 28, 29, 21369
Result (x y micro-second), 32, 9, 21248
Result (x y micro-second), 25, 11, 21295
Result (x y micro-second), 62, 14, 21327
Result (x y micro-second), 63, 10, 21266
Result (x y micro-second), 12, 17, 21342
Result (x y micro-second), 3, 28, 21812
Result (x y micro-second), 52, 3, 21264
Result (x y micro-second), 42, 15, 21305
Result (x y micro-second), 31, 9, 21244
Result (x y micro-second), 23, 21, 21401
Result (x y micro-second), 33, 25, 21422
Result (x y micro-second), 24, 30, 21411
Result (x y micro-second), 16, 33, 21312
Result (x y micro-second), 24, 13, 21290
Result (x y micro-second), 46, 22, 21319
Result (x y micro-second), 23, 39, 21383
Result (x y micro-second), 56, 15, 21322
Result (x y micro-second), 47, 15, 21329
Result (x y micro-second), 62, 2, 21244
Result (x y micro-second), 7, 30, 21432
Result (x y micro-second), 26, 31, 21359
Result (x y micro-second), 60, 11, 21270
Result (x y micro-second), 26, 11, 21325
Result (x y micro-second), 23, 25, 21251
Result (x y micro-second), 7, 45, 21421
Result (x y micro-second), 15, 53, 21445
Result (x y micro-second), 31, 11, 21260
Result (x y micro-second), 31, 15, 21261
Result (x y micro-second), 29, 31, 21373
Result (x y micro-second), 64, 2, 21223
Result (x y micro-second), 4, 14, 21757
Result (x y micro-second), 7, 36, 21447
Result (x y micro-second), 35, 21, 21378
Result (x y micro-second), 25, 1, 21824
Result (x y micro-second), 15, 15, 21328
Result (x y micro-second), 12, 43, 21412
Result (x y micro-second), 16, 41, 21304
Result (x y micro-second), 42, 14, 21290
Result (x y micro-second), 2, 9, 22717
Result (x y micro-second), 7, 37, 21447
Result (x y micro-second), 2, 10, 22585
Result (x y micro-second), 36, 24, 21407
Result (x y micro-second), 9, 14, 21364
Result (x y micro-second), 43, 21, 21359
Result (x y micro-second), 4, 33, 21597
Result (x y micro-second), 10, 40, 21357
Result (x y micro-second), 33, 11, 21562
Result (x y micro-second), 29, 20, 21465
Result (x y micro-second), 4, 54, 21576
Result (x y micro-second), 21, 13, 21266
Result (x y micro-second), 3, 63, 21893
Result (x y micro-second), 22, 36, 21375
Result (x y micro-second), 27, 20, 21246
Result (x y micro-second), 28, 9, 21248
Result (x y micro-second), 8, 18, 21383
Result (x y micro-second), 23, 29, 21242
Result (x y micro-second), 20, 42, 21354
Result (x y micro-second), 64, 1, 21392
Result (x y micro-second), 40, 23, 21506
Result (x y micro-second), 8, 20, 21324
Result (x y micro-second), 15, 21, 22930
Result (x y micro-second), 31, 1, 22802
Result (x y micro-second), 18, 9, 21712
Result (x y micro-second), 2, 7, 23385
Result (x y micro-second), 49, 13, 21646
Result (x y micro-second), 13, 44, 21697
Result (x y micro-second), 25, 19, 21647
Result (x y micro-second), 58, 6, 21639
Result (x y micro-second), 17, 27, 21712
Result (x y micro-second), 47, 10, 21723
Result (x y micro-second), 31, 15, 21655
Result (x y micro-second), 61, 16, 21602
Result (x y micro-second), 52, 15, 21571
Result (x y micro-second), 21, 17, 21476
Result (x y micro-second), 37, 5, 21484
Result (x y micro-second), 17, 2, 21825
Result (x y micro-second), 50, 15, 21559
Result (x y micro-second), 20, 14, 21496
Result (x y micro-second), 5, 2, 23457
Result (x y micro-second), 3, 59, 22102
Result (x y micro-second), 5, 54, 21769
Result (x y micro-second), 9, 29, 21604
Result (x y micro-second), 45, 14, 21460
Result (x y micro-second), 33, 9, 21514
Result (x y micro-second), 11, 21, 21557
Result (x y micro-second), 51, 2, 21461
Result (x y micro-second), 16, 50, 21594
Result (x y micro-second), 14, 36, 21532
Result (x y micro-second), 37, 23, 21601
Result (x y micro-second), 7, 35, 21608
Result (x y micro-second), 12, 10, 21523
Result (x y micro-second), 30, 16, 21538
Result (x y micro-second), 3, 24, 22068
Result (x y micro-second), 32, 1, 21906
Result (x y micro-second), 55, 17, 21551
Result (x y micro-second), 18, 40, 21660
Result (x y micro-second), 13, 33, 21532
Result (x y micro-second), 25, 27, 21609
Result (x y micro-second), 4, 24, 21787
Result (x y micro-second), 11, 57, 21561
Result (x y micro-second), 9, 59, 21673
Result (x y micro-second), 14, 52, 21640
Result (x y micro-second), 35, 16, 21559
Result (x y micro-second), 12, 24, 21531
Result (x y micro-second), 24, 41, 21601
Result (x y micro-second), 59, 11, 21479
Result (x y micro-second), 18, 12, 21893
Result (x y micro-second), 45, 11, 21851
Result (x y micro-second), 24, 16, 21482
Result (x y micro-second), 23, 35, 21603
Result (x y micro-second), 8, 18, 21582
Result (x y micro-second), 10, 16, 21719
Result (x y micro-second), 12, 23, 21854
Result (x y micro-second), 4, 46, 22785
Result (x y micro-second), 38, 15, 21626
Result (x y micro-second), 6, 24, 21675
Result (x y micro-second), 40, 17, 21877
Result (x y micro-second), 27, 5, 21522
Result (x y micro-second), 9, 50, 21641
Result (x y micro-second), 20, 31, 21523
Result (x y micro-second), 20, 27, 21817
Result (x y micro-second), 11, 48, 21780
Result (x y micro-second), 11, 45, 21558
Result (x y micro-second), 16, 45, 21689
Result (x y micro-second), 18, 42, 21628
Result (x y micro-second), 28, 4, 21463
Result (x y micro-second), 12, 9, 21540
Result (x y micro-second), 54, 14, 21615
Result (x y micro-second), 60, 9, 21509
Result (x y micro-second), 36, 6, 21481
Result (x y micro-second), 56, 11, 21506
Result (x y micro-second), 48, 2, 21501
Result (x y micro-second), 15, 4, 21582
Result (x y micro-second), 34, 7, 21487
Result (x y micro-second), 8, 20, 21561
Result (x y micro-second), 33, 21, 21545
Result (x y micro-second), 29, 17, 21598
Result (x y micro-second), 33, 20, 21504
Result (x y micro-second), 27, 24, 21503
Result (x y micro-second), 10, 10, 21605
Result (x y micro-second), 8, 7, 21646
Result (x y micro-second), 51, 6, 21516
Result (x y micro-second), 6, 36, 21669
Result (x y micro-second), 34, 13, 21488
Result (x y micro-second), 10, 23, 21557
Result (x y micro-second), 50, 14, 21590
Result (x y micro-second), 6, 18, 21775
Result (x y micro-second), 41, 2, 21498
Result (x y micro-second), 8, 53, 21655
Result (x y micro-second), 34, 19, 21661
Result (x y micro-second), 3, 47, 22067
Result (x y micro-second), 53, 12, 21493
Result (x y micro-second), 5, 38, 21791
Result (x y micro-second), 2, 54, 22406
Result (x y micro-second), 51, 7, 21443
Result (x y micro-second), 8, 19, 21571
Result (x y micro-second), 60, 15, 21540
Result (x y micro-second), 50, 16, 21575
Result (x y micro-second), 4, 31, 21810
Result (x y micro-second), 12, 52, 21564
Result (x y micro-second), 62, 15, 21545
Result (x y micro-second), 26, 39, 21550
Result (x y micro-second), 23, 27, 21526
Result (x y micro-second), 28, 9, 21481
Result (x y micro-second), 27, 8, 21483
Result (x y micro-second), 19, 22, 21576
Result (x y micro-second), 22, 5, 21477
Result (x y micro-second), 37, 21, 21557
Result (x y micro-second), 14, 35, 21549
Result (x y micro-second), 56, 8, 21484
Result (x y micro-second), 9, 3, 22065
Result (x y micro-second), 59, 6, 21470
Result (x y micro-second), 17, 29, 21541
Result (x y micro-second), 3, 13, 22605
Result (x y micro-second), 5, 30, 21779
Result (x y micro-second), 21, 38, 21605
Result (x y micro-second), 1, 47, 24452
Result (x y micro-second), 45, 19, 21547
Result (x y micro-second), 4, 3, 23129
Result (x y micro-second), 23, 40, 21568
Result (x y micro-second), 23, 20, 21502
Result (x y micro-second), 16, 9, 21591
Result (x y micro-second), 27, 14, 21586
Result (x y micro-second), 20, 27, 21526
Result (x y micro-second), 2, 4, 24424
Result (x y micro-second), 38, 24, 21611
Result (x y micro-second), 32, 12, 21455
Result (x y micro-second), 18, 10, 21495
Result (x y micro-second), 38, 15, 21532
Result (x y micro-second), 32, 15, 21450
Result (x y micro-second), 12, 25, 21531
Result (x y micro-second), 38, 15, 21509
Result (x y micro-second), 15, 44, 21524
Result (x y micro-second), 31, 16, 21501
Result (x y micro-second), 47, 5, 21476
Result (x y micro-second), 40, 6, 21495
Result (x y micro-second), 58, 7, 21520
