dimension, 2039, 2039
Result (x y micro-second), 22, 32, 9743
Result (x y micro-second), 59, 15, 9107
Result (x y micro-second), 27, 23, 9091
Result (x y micro-second), 34, 30, 9270
Result (x y micro-second), 51, 17, 9179
Result (x y micro-second), 41, 10, 9218
Result (x y micro-second), 19, 15, 9062
Result (x y micro-second), 10, 28, 9424
Result (x y micro-second), 25, 20, 9209
Result (x y micro-second), 16, 46, 9549
Result (x y micro-second), 51, 8, 9081
Result (x y micro-second), 23, 20, 9175
Result (x y micro-second), 53, 17, 9108
Result (x y micro-second), 34, 15, 9116
Result (x y micro-second), 39, 3, 8854
Result (x y micro-second), 60, 8, 8972
Result (x y micro-second), 32, 24, 9071
Result (x y micro-second), 57, 17, 9081
Result (x y micro-second), 8, 18, 9397
Result (x y micro-second), 7, 17, 9674
Result (x y micro-second), 13, 23, 9388
Result (x y micro-second), 3, 35, 11155
Result (x y micro-second), 51, 11, 9085
Result (x y micro-second), 5, 25, 10155
Result (x y micro-second), 13, 1, 14150
Result (x y micro-second), 24, 25, 9096
Result (x y micro-second), 15, 53, 9626
Result (x y micro-second), 15, 13, 9175
Result (x y micro-second), 45, 22, 9142
Result (x y micro-second), 38, 10, 9015
Result (x y micro-second), 18, 10, 9068
Result (x y micro-second), 5, 30, 10172
Result (x y micro-second), 32, 8, 8912
Result (x y micro-second), 64, 9, 8937
Result (x y micro-second), 19, 3, 9516
Result (x y micro-second), 10, 31, 9450
Result (x y micro-second), 3, 41, 11198
Result (x y micro-second), 10, 26, 9425
Result (x y micro-second), 1, 6, 26193
Result (x y micro-second), 24, 15, 9051
Result (x y micro-second), 25, 34, 9345
Result (x y micro-second), 3, 42, 11237
Result (x y micro-second), 43, 7, 8968
Result (x y micro-second), 7, 10, 9849
Result (x y micro-second), 14, 6, 9323
Result (x y micro-second), 18, 12, 9179
Result (x y micro-second), 14, 64, 9551
Result (x y micro-second), 2, 16, 13738
Result (x y micro-second), 40, 11, 9103
Result (x y micro-second), 16, 64, 9322
Result (x y micro-second), 55, 9, 8956
Result (x y micro-second), 38, 18, 9500
Result (x y micro-second), 11, 8, 9358
Result (x y micro-second), 3, 13, 13120
Result (x y micro-second), 61, 7, 9141
Result (x y micro-second), 8, 27, 9412
Result (x y micro-second), 3, 4, 16056
Result (x y micro-second), 12, 21, 9202
Result (x y micro-second), 11, 59, 9551
Result (x y micro-second), 2, 56, 12468
Result (x y micro-second), 19, 38, 9950
Result (x y micro-second), 25, 8, 9060
Result (x y micro-second), 54, 11, 9037
Result (x y micro-second), 27, 30, 9296
Result (x y micro-second), 16, 9, 9007
Result (x y micro-second), 22, 35, 9448
Result (x y micro-second), 32, 6, 8791
Result (x y micro-second), 17, 44, 9677
Result (x y micro-second), 18, 53, 9378
Result (x y micro-second), 44, 6, 9009
Result (x y micro-second), 36, 26, 9196
Result (x y micro-second), 8, 3, 11782
Result (x y micro-second), 64, 13, 9016
Result (x y micro-second), 8, 15, 9362
Result (x y micro-second), 36, 2, 9224
Result (x y micro-second), 50, 3, 8873
Result (x y micro-second), 53, 9, 9119
Result (x y micro-second), 14, 32, 9429
Result (x y micro-second), 64, 1, 9253
Result (x y micro-second), 10, 24, 9400
Result (x y micro-second), 11, 56, 9642
Result (x y micro-second), 54, 18, 9141
Result (x y micro-second), 6, 25, 9869
Result (x y micro-second), 19, 41, 9556
Result (x y micro-second), 12, 63, 9854
Result (x y micro-second), 59, 15, 9104
Result (x y micro-second), 15, 37, 9524
Result (x y micro-second), 18, 7, 8982
Result (x y micro-second), 27, 17, 9133
Result (x y micro-second), 7, 18, 9707
Result (x y micro-second), 14, 47, 9374
Result (x y micro-second), 9, 23, 9522
Result (x y micro-second), 6, 19, 9906
Result (x y micro-second), 14, 59, 9629
Result (x y micro-second), 37, 20, 9285
Result (x y micro-second), 17, 48, 9505
Result (x y micro-second), 40, 6, 8892
Result (x y micro-second), 35, 8, 8936
Result (x y micro-second), 15, 38, 9567
Result (x y micro-second), 40, 23, 9201
Result (x y micro-second), 41, 9, 8997
Result (x y micro-second), 40, 13, 9144
Result (x y micro-second), 4, 24, 10413
Result (x y micro-second), 40, 23, 9148
Result (x y micro-second), 45, 6, 8938
Result (x y micro-second), 21, 35, 9648
Result (x y micro-second), 52, 3, 8820
Result (x y micro-second), 30, 2, 9401
Result (x y micro-second), 40, 5, 9028
Result (x y micro-second), 24, 35, 9367
Result (x y micro-second), 49, 1, 9676
Result (x y micro-second), 13, 7, 9266
