dimension, 1021, 4093
Result (x y micro-second), 7, 61, 10338
Result (x y micro-second), 14, 37, 9953
Result (x y micro-second), 55, 18, 9336
Result (x y micro-second), 7, 63, 10346
Result (x y micro-second), 15, 58, 9762
Result (x y micro-second), 8, 17, 9566
Result (x y micro-second), 31, 7, 9082
Result (x y micro-second), 15, 46, 10370
Result (x y micro-second), 4, 6, 12801
Result (x y micro-second), 51, 19, 9306
Result (x y micro-second), 27, 20, 9489
Result (x y micro-second), 54, 13, 9527
Result (x y micro-second), 12, 42, 9609
Result (x y micro-second), 47, 5, 9108
Result (x y micro-second), 54, 13, 9560
Result (x y micro-second), 12, 4, 10120
Result (x y micro-second), 59, 15, 9282
Result (x y micro-second), 10, 44, 9932
Result (x y micro-second), 14, 29, 9884
Result (x y micro-second), 36, 9, 9311
Result (x y micro-second), 19, 20, 9464
Result (x y micro-second), 3, 8, 13244
Result (x y micro-second), 32, 14, 9088
Result (x y micro-second), 49, 15, 9407
Result (x y micro-second), 13, 7, 9353
Result (x y micro-second), 4, 11, 11628
Result (x y micro-second), 15, 33, 9442
Result (x y micro-second), 10, 8, 9671
Result (x y micro-second), 62, 7, 9182
Result (x y micro-second), 7, 55, 10808
Result (x y micro-second), 10, 57, 10105
Result (x y micro-second), 7, 17, 9948
Result (x y micro-second), 29, 2, 9640
Result (x y micro-second), 5, 6, 11813
Result (x y micro-second), 50, 5, 9048
Result (x y micro-second), 12, 31, 9583
Result (x y micro-second), 2, 18, 16128
Result (x y micro-second), 48, 10, 9167
Result (x y micro-second), 6, 54, 10581
Result (x y micro-second), 9, 49, 10082
Result (x y micro-second), 16, 20, 9274
Result (x y micro-second), 8, 21, 9746
Result (x y micro-second), 1, 10, 21690
Result (x y micro-second), 5, 56, 11042
Result (x y micro-second), 1, 6, 26737
Result (x y micro-second), 9, 22, 9773
Result (x y micro-second), 34, 22, 9506
Result (x y micro-second), 6, 41, 10181
Result (x y micro-second), 14, 56, 10069
Result (x y micro-second), 8, 30, 9665
Result (x y micro-second), 11, 15, 9597
Result (x y micro-second), 20, 48, 9601
Result (x y micro-second), 26, 21, 9398
Result (x y micro-second), 21, 28, 9450
Result (x y micro-second), 29, 17, 9341
Result (x y micro-second), 39, 8, 9335
Result (x y micro-second), 17, 45, 9958
Result (x y micro-second), 5, 2, 16854
Result (x y micro-second), 15, 60, 9778
Result (x y micro-second), 30, 7, 9217
Result (x y micro-second), 27, 31, 9552
Result (x y micro-second), 26, 4, 9233
Result (x y micro-second), 15, 46, 10427
Result (x y micro-second), 58, 14, 9314
Result (x y micro-second), 16, 41, 9318
Result (x y micro-second), 2, 51, 12666
Result (x y micro-second), 31, 18, 9322
Result (x y micro-second), 20, 46, 9519
Result (x y micro-second), 31, 7, 9078
Result (x y micro-second), 13, 17, 9437
Result (x y micro-second), 47, 12, 9287
Result (x y micro-second), 58, 10, 9206
Result (x y micro-second), 61, 16, 9237
Result (x y micro-second), 31, 30, 9422
Result (x y micro-second), 32, 3, 9066
Result (x y micro-second), 9, 16, 9664
Result (x y micro-second), 60, 15, 9300
Result (x y micro-second), 12, 49, 9689
Result (x y micro-second), 2, 3, 23509
Result (x y micro-second), 60, 10, 9162
Result (x y micro-second), 5, 28, 10366
Result (x y micro-second), 10, 27, 9588
Result (x y micro-second), 62, 5, 9097
Result (x y micro-second), 37, 27, 9323
Result (x y micro-second), 39, 12, 9205
Result (x y micro-second), 6, 40, 10127
Result (x y micro-second), 14, 39, 9801
Result (x y micro-second), 6, 58, 10382
Result (x y micro-second), 38, 2, 9330
Result (x y micro-second), 3, 34, 11494
Result (x y micro-second), 44, 7, 9130
Result (x y micro-second), 13, 46, 9739
Result (x y micro-second), 39, 22, 9364
Result (x y micro-second), 9, 36, 10089
Result (x y micro-second), 24, 5, 9089
Result (x y micro-second), 31, 11, 9290
Result (x y micro-second), 7, 37, 9946
Result (x y micro-second), 50, 20, 9241
Result (x y micro-second), 11, 56, 9876
Result (x y micro-second), 13, 49, 9645
Result (x y micro-second), 57, 16, 9247
Result (x y micro-second), 18, 36, 9400
Result (x y micro-second), 22, 14, 9281
Result (x y micro-second), 60, 9, 9217
Result (x y micro-second), 34, 9, 9157
Result (x y micro-second), 54, 8, 9221
Result (x y micro-second), 47, 2, 9084
Result (x y micro-second), 29, 3, 9211
Result (x y micro-second), 63, 14, 9251
Result (x y micro-second), 22, 10, 9121
Result (x y micro-second), 5, 35, 10686
Result (x y micro-second), 50, 11, 9436
Result (x y micro-second), 33, 7, 9203
Result (x y micro-second), 24, 28, 9231
Result (x y micro-second), 15, 57, 9695
