Name,Start Time(ns),Duration(ns),GridX,GridY,GridZ,BlockX,BlockY,BlockZ,Registers/Thread,Static Shared Memory,Dynamic Shared Memory,Global Memory Load Efficiency(%),Achieved Occupancy,Global Memory Store Efficiency(%)
"matrixMulKernel(matrix, matrix, matrix)",30708659923,142363479,120,16,1,17,32,1,21,0,0,130.371,0.894,53.314
"matrixMulKernel(matrix, matrix, matrix)",30853656317,134378787,102,16,1,20,32,1,21,0,0,137.745,0.829,63.076
"matrixMulKernel(matrix, matrix, matrix)",30990643221,180320121,227,16,1,9,32,1,21,0,0,63.538,0.705,28.738
"matrixMulKernel(matrix, matrix, matrix)",31173606017,142282364,120,16,1,17,32,1,21,0,0,135.622,0.87,63.385
"matrixMulKernel(matrix, matrix, matrix)",31318523376,997674711,2039,16,1,1,32,1,21,0,0,118.361,0.943,69.653
"matrixMulKernel(matrix, matrix, matrix)",32318911160,165949258,186,16,1,11,32,1,21,0,0,121.389,0.878,68.728
"matrixMulKernel(matrix, matrix, matrix)",32487495285,136212518,76,16,1,27,32,1,21,0,0,111.123,0.889,45.668
"matrixMulKernel(matrix, matrix, matrix)",32626332079,132852034,68,16,1,30,32,1,21,0,0,137.357,0.786,61.818
"matrixMulKernel(matrix, matrix, matrix)",32761822852,997646524,2039,16,1,1,32,1,21,0,0,63.538,0.701,28.738
"matrixMulKernel(matrix, matrix, matrix)",33762223723,166540995,255,16,1,8,32,1,21,0,0,136.009,0.989,82.002
"matrixMulKernel(matrix, matrix, matrix)",33931416513,140474414,108,16,1,19,32,1,21,0,0,139.927,0.914,57.132
"matrixMulKernel(matrix, matrix, matrix)",34074571648,154802692,157,16,1,13,32,1,21,0,0,163.736,0.986,69.494
"matrixMulKernel(matrix, matrix, matrix)",34232320259,204742461,292,16,1,7,32,1,21,0,0,135.699,0.799,57.431
"matrixMulKernel(matrix, matrix, matrix)",34439782989,250420013,408,16,1,5,32,1,21,0,0,137.357,0.786,61.818
"matrixMulKernel(matrix, matrix, matrix)",34692862060,358948648,680,16,1,3,32,1,21,0,0,139.927,0.913,57.132
"matrixMulKernel(matrix, matrix, matrix)",35054524866,169677366,204,16,1,10,32,1,21,0,0,111.123,0.899,45.668
"matrixMulKernel(matrix, matrix, matrix)",35226840843,140482830,108,16,1,19,32,1,21,0,0,118.361,0.943,69.653
"matrixMulKernel(matrix, matrix, matrix)",35369990954,130079544,73,16,1,28,32,1,21,0,0,46.704,0.496,22.222
"matrixMulKernel(matrix, matrix, matrix)",35502703925,165811059,186,16,1,11,32,1,21,0,0,136.122,0.745,68.579
"matrixMulKernel(matrix, matrix, matrix)",35671268724,142288280,120,16,1,17,32,1,21,0,0,137.745,0.829,63.076
"matrixMulKernel(matrix, matrix, matrix)",35816433519,250276663,408,16,1,5,32,1,21,0,0,104.796,0.852,43.233
"matrixMulKernel(matrix, matrix, matrix)",36069423252,250253016,408,16,1,5,32,1,21,0,0,133.312,0.962,64.75
"matrixMulKernel(matrix, matrix, matrix)",36322350269,270595459,510,16,1,4,32,1,21,0,0,125.368,0.867,69.102
"matrixMulKernel(matrix, matrix, matrix)",36595653135,473913949,1020,16,1,2,32,1,21,0,0,124.74,0.799,67.957
"matrixMulKernel(matrix, matrix, matrix)",37072388723,120243708,128,16,1,16,32,1,21,0,0,85.288,0.923,36.377
"matrixMulKernel(matrix, matrix, matrix)",37195269538,166457513,255,16,1,8,32,1,21,0,0,123.798,0.907,50.658
"matrixMulKernel(matrix, matrix, matrix)",37364465625,119864490,85,16,1,24,32,1,21,0,0,163.736,0.987,69.494
"matrixMulKernel(matrix, matrix, matrix)",37486956376,140140765,114,16,1,18,32,1,21,0,0,111.123,0.892,45.668
"matrixMulKernel(matrix, matrix, matrix)",37629757448,154608460,157,16,1,13,32,1,21,0,0,124.74,0.8,67.957
"matrixMulKernel(matrix, matrix, matrix)",37787027910,132268608,79,16,1,26,32,1,21,0,0,130.949,0.688,66.085
"matrixMulKernel(matrix, matrix, matrix)",37921932442,126540310,93,16,1,22,32,1,21,0,0,130.949,0.688,66.085
"matrixMulKernel(matrix, matrix, matrix)",38051263834,140471368,108,16,1,19,32,1,21,0,0,138.473,0.923,65.586
"matrixMulKernel(matrix, matrix, matrix)",38194370198,204763488,292,16,1,7,32,1,21,0,0,137.355,0.907,59.822
"matrixMulKernel(matrix, matrix, matrix)",38401762346,135279836,89,16,1,23,32,1,21,0,0,24.24,0.25,12.5
"matrixMulKernel(matrix, matrix, matrix)",38539654811,997640815,2039,16,1,1,32,1,21,0,0,121.389,0.88,68.728
"matrixMulKernel(matrix, matrix, matrix)",39540079829,140482759,108,16,1,19,32,1,21,0,0,46.704,0.496,22.222
"matrixMulKernel(matrix, matrix, matrix)",39683187888,165707672,186,16,1,11,32,1,21,0,0,130.371,0.891,53.314
"matrixMulKernel(matrix, matrix, matrix)",39851542683,270563094,510,16,1,4,32,1,21,0,0,138.473,0.923,65.586
"matrixMulKernel(matrix, matrix, matrix)",40124759716,135393652,89,16,1,23,32,1,21,0,0,125.368,0.868,69.102
"matrixMulKernel(matrix, matrix, matrix)",40262788427,135727934,76,16,1,27,32,1,21,0,0,46.704,0.496,22.222
"matrixMulKernel(matrix, matrix, matrix)",40401148445,135043979,66,16,1,31,32,1,21,0,0,135.699,0.799,57.431
"matrixMulKernel(matrix, matrix, matrix)",40539106826,134368278,102,16,1,20,32,1,21,0,0,133.356,0.677,65.86
"matrixMulKernel(matrix, matrix, matrix)",40676229356,140470793,108,16,1,19,32,1,21,0,0,91.859,0.874,38.825
"matrixMulKernel(matrix, matrix, matrix)",40819322121,154632843,157,16,1,13,32,1,21,0,0,133.312,0.962,64.75
"matrixMulKernel(matrix, matrix, matrix)",40976651620,474165346,1020,16,1,2,32,1,21,0,0,138.473,0.923,65.586
"matrixMulKernel(matrix, matrix, matrix)",41453498071,358963144,680,16,1,3,32,1,21,0,0,125.368,0.868,69.102
"matrixMulKernel(matrix, matrix, matrix)",41815100019,474172673,1020,16,1,2,32,1,21,0,0,91.859,0.865,38.825
"matrixMulKernel(matrix, matrix, matrix)",42292031616,135396308,89,16,1,23,32,1,21,0,0,138.368,0.841,59.199
"matrixMulKernel(matrix, matrix, matrix)",42430071148,270526733,510,16,1,4,32,1,21,0,0,124.74,0.8,67.957
"matrixMulKernel(matrix, matrix, matrix)",42703304712,270459313,510,16,1,4,32,1,21,0,0,130.371,0.887,53.314
"matrixMulKernel(matrix, matrix, matrix)",42976429900,131959885,79,16,1,26,32,1,21,0,0,24.24,0.25,12.5
"matrixMulKernel(matrix, matrix, matrix)",43111010478,150014646,146,16,1,14,32,1,21,0,0,163.736,0.988,69.494
"matrixMulKernel(matrix, matrix, matrix)",43263703029,136853999,71,16,1,29,32,1,21,0,0,137.355,0.908,59.822
"matrixMulKernel(matrix, matrix, matrix)",43403190137,120131983,128,16,1,16,32,1,21,0,0,46.704,0.496,22.222
"matrixMulKernel(matrix, matrix, matrix)",43525933950,136739286,76,16,1,27,32,1,21,0,0,131.347,0.841,54.424
"matrixMulKernel(matrix, matrix, matrix)",43665396547,102495181,64,16,1,32,32,1,21,0,0,135.699,0.799,57.431
"matrixMulKernel(matrix, matrix, matrix)",43770515013,154506993,157,16,1,13,32,1,21,0,0,138.473,0.923,65.586
"matrixMulKernel(matrix, matrix, matrix)",43927668969,166429417,255,16,1,8,32,1,21,0,0,136.009,0.989,82.002
"matrixMulKernel(matrix, matrix, matrix)",44096791106,997639376,2039,16,1,1,32,1,21,0,0,85.288,0.92,36.377
"matrixMulKernel(matrix, matrix, matrix)",45097115011,140472643,108,16,1,19,32,1,21,0,0,133.312,0.962,64.75
"matrixMulKernel(matrix, matrix, matrix)",45240224570,130065417,73,16,1,28,32,1,21,0,0,127.922,0.76,67.049
"matrixMulKernel(matrix, matrix, matrix)",45372917464,474106210,1020,16,1,2,32,1,21,0,0,127.922,0.758,67.049
