Name,Start Time(ns),Duration(ns),GridX,GridY,GridZ,BlockX,BlockY,BlockZ,Registers/Thread,Static Shared Memory,Dynamic Shared Memory,Size(bytes),Throughput(bytes/sec)
"Memcpy DtoH [sync]",9722306107,547502,,,,,,,,,,4169764,7615979485
"Memcpy HtoD [sync]",9723501748,485136,,,,,,,,,,4169764,8595041390
"Memcpy HtoD [sync]",9724092416,493776,,,,,,,,,,4169764,8444646965
"matrixMulKernel(matrix, matrix, matrix)",9724605136,139842481,45,52,1,23,20,1,21,0,0,,
"Memcpy DtoH [sync]",9864467968,548814,,,,,,,,,,4169764,7597772651
"Memcpy HtoD [sync]",9865656665,482832,,,,,,,,,,4169764,8636055605
"Memcpy HtoD [sync]",9866243270,483280,,,,,,,,,,4169764,8628049991
"matrixMulKernel(matrix, matrix, matrix)",9866741366,132535391,22,54,1,47,19,1,21,0,0,,
"Memcpy DtoH [sync]",9999296756,546351,,,,,,,,,,4169764,7632024101
"Memcpy HtoD [sync]",10000449039,475728,,,,,,,,,,4169764,8765016984
"Memcpy HtoD [sync]",10001027388,477264,,,,,,,,,,4169764,8736808139
"matrixMulKernel(matrix, matrix, matrix)",10001518284,155476243,79,114,1,13,9,1,21,0,0,,
"Memcpy DtoH [sync]",10157016511,543886,,,,,,,,,,4169764,7666613959
"Memcpy HtoD [sync]",10158196088,482352,,,,,,,,,,4169764,8644649550
"Memcpy HtoD [sync]",10158782309,482832,,,,,,,,,,4169764,8636055605
"matrixMulKernel(matrix, matrix, matrix)",10159279317,176720735,114,73,1,9,14,1,21,0,0,,
"Memcpy DtoH [sync]",10336021043,546670,,,,,,,,,,4169764,7627570563
"Memcpy HtoD [sync]",10337195469,481296,,,,,,,,,,4169764,8663616568
"Memcpy HtoD [sync]",10337780666,490384,,,,,,,,,,4169764,8503058827
"matrixMulKernel(matrix, matrix, matrix)",10338286473,133434754,29,103,1,36,10,1,21,0,0,,
"Memcpy DtoH [sync]",10471742506,543215,,,,,,,,,,4169764,7676084055
"Memcpy HtoD [sync]",10472901329,473040,,,,,,,,,,4169764,8814823270
"Memcpy HtoD [sync]",10473476510,474097,,,,,,,,,,4169764,8795170608
"matrixMulKernel(matrix, matrix, matrix)",10473971822,169856207,128,30,1,8,35,1,21,0,0,,
"Memcpy DtoH [sync]",10643848924,542703,,,,,,,,,,4169764,7683325870
"Memcpy HtoD [sync]",10645001143,479632,,,,,,,,,,4169764,8693673483
"Memcpy HtoD [sync]",10645583972,480880,,,,,,,,,,4169764,8671111295
"matrixMulKernel(matrix, matrix, matrix)",10646078932,132448246,23,57,1,45,18,1,21,0,0,,
"Memcpy DtoH [sync]",10778555977,598156,,,,,,,,,,4169764,6971030968
"Memcpy HtoD [sync]",10779755777,471953,,,,,,,,,,4169764,8835125531
"Memcpy HtoD [sync]",10780329071,472880,,,,,,,,,,4169764,8817805785
"matrixMulKernel(matrix, matrix, matrix)",10780816383,292231502,256,61,1,4,17,1,21,0,0,,
"Memcpy DtoH [sync]",11073069709,542830,,,,,,,,,,4169764,7681528286
"Memcpy HtoD [sync]",11074254790,483536,,,,,,,,,,4169764,8623482015
